,date,ticker,shares_outstanding
0,"Nov. 6, 2020",EMCF,2709000.0
1,"Sept. 30, 2020",EMCF,2709000.0
2,"Aug. 11, 2020",EMCF,2709000.0
3,"June 30, 2020",EMCF,2709000.0
4,"May 12, 2020",EMCF,2709000.0
5,"March 31, 2020",EMCF,2709000.0
6,"March 20, 2020",EMCF,2709000.0
7,"March 2, 2020",EMCF,2709000.0
8,"Dec. 31, 2019",EMCF,2709000.0
9,"Nov. 8, 2019",EMCF,2699000.0
10,"Sept. 30, 2019",EMCF,2699000.0
11,"Aug. 12, 2019",EMCF,2699000.0
12,"June 30, 2019",EMCF,2699000.0
13,"May 10, 2019",EMCF,2699000.0
14,"March 31, 2019",EMCF,2699000.0
15,"March 20, 2019",EMCF,2699000.0
16,"March 1, 2019",EMCF,2699000.0
17,"Dec. 31, 2018",EMCF,2699000.0
18,"Nov. 8, 2018",EMCF,2690000.0
19,"Oct. 1, 2018",EMCF,2712000.0
20,"Sept. 30, 2018",EMCF,2271000.0
21,"Aug. 9, 2018",EMCF,2271000.0
22,"June 30, 2018",EMCF,2271000.0
23,"May 24, 2018",EMCF,2271000.0
24,"May 14, 2018",EMCF,2271000.0
0,"Oct. 27, 2020",ARCC,422620000.0
1,"Sept. 30, 2020",ARCC,422620000.0
2,"Sept. 14, 2020",ARCC,422620000.0
3,"Aug. 4, 2020",ARCC,422620000.0
4,"June 30, 2020",ARCC,423000000.0
5,"June 5, 2020",ARCC,422620000.0
6,"April 29, 2020",ARCC,422620000.0
7,"March 31, 2020",ARCC,423000000.0
8,"March 25, 2020",ARCC,425090000.0
9,"Feb. 6, 2020",ARCC,431080000.0
10,"Dec. 31, 2019",ARCC,431000000.0
11,"Oct. 24, 2019",ARCC,427190000.0
12,"Sept. 30, 2019",ARCC,427000000.0
13,"July 24, 2019",ARCC,426720000.0
14,"June 30, 2019",ARCC,426300000.0
15,"May 16, 2019",ARCC,426300000.0
16,"April 24, 2019",ARCC,426300000.0
17,"April 8, 2019",ARCC,426300000.0
18,"March 31, 2019",ARCC,426000000.0
19,"March 15, 2019",ARCC,426300000.0
20,"Feb. 7, 2019",ARCC,426300000.0
21,"Dec. 31, 2018",ARCC,426000000.0
22,"Oct. 24, 2018",ARCC,426300000.0
23,"Sept. 30, 2018",ARCC,426000000.0
24,"Aug. 8, 2018",ARCC,426300000.0
0,"Nov. 2, 2020",AEIS,38270000.0
1,"Sept. 30, 2020",AEIS,38270000.0
2,"Aug. 3, 2020",AEIS,38330000.0
3,"June 30, 2020",AEIS,38320000.0
4,"May 4, 2020",AEIS,38270000.0
5,"March 31, 2020",AEIS,38250000.0
6,"March 9, 2020",AEIS,38420000.0
7,"Feb. 28, 2020",AEIS,38410000.0
8,"Feb. 1, 2020",AEIS,38360000.0
9,"Dec. 31, 2019",AEIS,38360000.0
10,"Nov. 7, 2019",AEIS,38330000.0
11,"Sept. 30, 2019",AEIS,38330000.0
12,"Aug. 1, 2019",AEIS,38310000.0
13,"June 30, 2019",AEIS,38300000.0
14,"May 2, 2019",AEIS,38240000.0
15,"April 8, 2019",AEIS,38240000.0
16,"March 31, 2019",AEIS,38240000.0
17,"March 15, 2019",AEIS,38220000.0
18,"Feb. 19, 2019",AEIS,38200000.0
19,"Dec. 31, 2018",AEIS,38160000.0
20,"Oct. 25, 2018",AEIS,38490000.0
21,"Sept. 30, 2018",AEIS,38720000.0
22,"July 26, 2018",AEIS,39110000.0
23,"June 30, 2018",AEIS,39240000.0
24,"April 26, 2018",AEIS,39330000.0
0,"Dec. 3, 2020",DOX,131110000.00000001
1,"Sept. 30, 2020",DOX,131539999.99999999
2,"June 30, 2020",DOX,133020000.00000001
3,"March 31, 2020",DOX,133500000.0
4,"Dec. 31, 2019",DOX,134580000.0
5,"Dec. 5, 2019",DOX,134770000.0
6,"Sept. 30, 2019",DOX,134770000.0
7,"June 30, 2019",DOX,135890000.0
8,"March 31, 2019",DOX,137130000.0
9,"Dec. 31, 2018",DOX,139010000.0
10,"Dec. 3, 2018",DOX,139580000.0
11,"Sept. 30, 2018",DOX,140180000.0
12,"June 30, 2018",DOX,141440000.0
13,"March 31, 2018",DOX,142540000.0
14,"Dec. 31, 2017",DOX,143420000.0
15,"Nov. 30, 2017",DOX,143910000.0
16,"Sept. 30, 2017",DOX,144390000.0
17,"June 30, 2017",DOX,145360000.0
18,"March 31, 2017",DOX,146450000.0
19,"Dec. 31, 2016",DOX,146690000.0
20,"Nov. 30, 2016",DOX,146790000.0
21,"Sept. 30, 2016",DOX,147130000.0
22,"June 30, 2016",DOX,147850000.0
23,"March 31, 2016",DOX,149760000.0
24,"Dec. 31, 2015",DOX,150360000.0
0,"Nov. 1, 2020",BCML,11830000.0
1,"Sept. 30, 2020",BCML,11830000.0
2,"Aug. 1, 2020",BCML,11890000.0
3,"June 30, 2020",BCML,11870000.0
4,"April 24, 2020",BCML,12230000.0
5,"March 31, 2020",BCML,12230000.0
6,"Feb. 29, 2020",BCML,12330000.0
7,"Dec. 31, 2019",BCML,12440000.0
8,"Nov. 12, 2019",BCML,12940000.0
9,"Oct. 21, 2019",BCML,12930000.0
10,"Sept. 30, 2019",BCML,12060000.0
11,"July 31, 2019",BCML,12050000.0
12,"June 30, 2019",BCML,12050000.0
13,"May 31, 2019",BCML,12050000.0
14,"May 24, 2019",BCML,12050000.0
15,"May 7, 2019",BCML,10890000.0
16,"April 26, 2019",BCML,10890000.0
17,"March 31, 2019",BCML,10890000.0
0,"Jan. 10, 2021",RMCF,6074000.0
1,"Nov. 30, 2020",RMCF,6071000.0
2,"Oct. 10, 2020",RMCF,6071000.0
3,"Aug. 31, 2020",RMCF,6068000.0
4,"July 29, 2020",RMCF,6076000.0
5,"June 25, 2020",RMCF,6065000.0
6,"June 10, 2020",RMCF,6065000.0
7,"May 31, 2020",RMCF,6061000.0
8,"May 11, 2020",RMCF,6061000.0
9,"Feb. 29, 2020",RMCF,6020000.0
10,"Jan. 1, 2020",RMCF,6000000.0
11,"Dec. 19, 2019",RMCF,6004000.0
12,"Nov. 30, 2019",RMCF,5995000.0
13,"Nov. 22, 2019",RMCF,6004000.0
14,"Nov. 15, 2019",RMCF,5995000.0
15,"Oct. 1, 2019",RMCF,5995000.0
16,"Aug. 31, 2019",RMCF,5991000.0
17,"June 25, 2019",RMCF,5966000.0
18,"June 1, 2019",RMCF,5966000.0
19,"May 31, 2019",RMCF,5962000.0
20,"May 10, 2019",RMCF,5966000.0
21,"Feb. 28, 2019",RMCF,5958000.0
22,"Jan. 10, 2019",RMCF,5949000.0
23,"Nov. 30, 2018",RMCF,5949000.0
24,"Oct. 1, 2018",RMCF,5949000.0
0,"Oct. 15, 2020",TARO,38260000.0
1,"March 31, 2020",TARO,38260000.0
2,"Nov. 1, 2019",TARO,38540000.0
3,"March 31, 2019",TARO,38540000.0
4,"Oct. 24, 2018",TARO,39020000.0
5,"March 31, 2018",TARO,39430000.0
6,"Nov. 17, 2017",TARO,40100000.0
7,"March 31, 2017",TARO,40510000.0
8,"Nov. 14, 2016",TARO,41030000.0
9,"March 31, 2016",TARO,42770000.0
10,"Nov. 10, 2015",TARO,42830000.0
11,"March 31, 2015",TARO,42830000.0
12,"March 31, 2014",TARO,42830000.0
13,"March 31, 2013",TARO,44770000.0
14,"March 31, 2012",TARO,44480000.0
15,"Feb. 29, 2012",TARO,44480000.0
16,"Dec. 31, 2011",TARO,44480000.0
17,"Oct. 17, 2011",TARO,44540000.0
18,"March 31, 2011",TARO,44510000.0
19,"Dec. 31, 2010",TARO,43080000.0
20,"Jan. 18, 2010",TARO,44510000.0
21,"Dec. 31, 2009",TARO,39250000.0
22,"Dec. 31, 2008",TARO,39200000.0
23,"Dec. 31, 2007",TARO,39200000.0
24,"Dec. 31, 2006",TARO,29360000.0
0,"Nov. 29, 2020",CAG,488580000.0
1,"Aug. 30, 2020",CAG,488520000.0
2,"Aug. 3, 2020",CAG,488480000.0
3,"June 28, 2020",CAG,487240000.0
4,"May 31, 2020",CAG,487160000.0
5,"Feb. 23, 2020",CAG,487080000.0
6,"Nov. 24, 2019",CAG,486810000.0
7,"Aug. 25, 2019",CAG,486650000.0
8,"July 30, 2019",CAG,486600000.0
9,"June 23, 2019",CAG,486130000.0
10,"May 26, 2019",CAG,486090000.0
11,"Feb. 24, 2019",CAG,485910000.0
12,"Nov. 25, 2018",CAG,485640000.0
13,"Oct. 26, 2018",CAG,485610000.0
14,"Oct. 12, 2018",CAG,408160000.0
15,"Oct. 4, 2018",CAG,391850000.0
16,"Aug. 26, 2018",CAG,391740000.0
17,"July 31, 2018",CAG,391650000.0
18,"June 24, 2018",CAG,390890000.0
19,"June 21, 2018",CAG,390880000.0
20,"May 27, 2018",CAG,390830000.0
21,"Feb. 25, 2018",CAG,393520000.0
22,"Nov. 26, 2017",CAG,400660000.0
23,"Aug. 27, 2017",CAG,408500000.0
24,"July 31, 2017",CAG,415660000.0
0,"Nov. 9, 2020",LINC,26480000.0
1,"Oct. 2, 2020",LINC,26410000.0
2,"Sept. 30, 2020",LINC,26480000.0
3,"Aug. 11, 2020",LINC,26400000.0
4,"June 30, 2020",LINC,26480000.0
5,"May 11, 2020",LINC,26360000.0
6,"April 27, 2020",LINC,26360000.0
7,"March 31, 2020",LINC,26360000.0
8,"March 3, 2020",LINC,26360000.0
9,"Dec. 31, 2019",LINC,25230000.0
10,"Nov. 12, 2019",LINC,25230000.0
11,"Sept. 30, 2019",LINC,25230000.0
12,"Aug. 12, 2019",LINC,25230000.0
13,"June 30, 2019",LINC,25230000.0
14,"May 7, 2019",LINC,25240000.0
15,"April 26, 2019",LINC,25120000.0
16,"March 31, 2019",LINC,25120000.0
17,"March 8, 2019",LINC,25110000.0
18,"Dec. 31, 2018",LINC,24640000.0
19,"Nov. 6, 2018",LINC,24640000.0
20,"Sept. 30, 2018",LINC,24640000.0
21,"Aug. 8, 2018",LINC,24640000.0
22,"June 30, 2018",LINC,24640000.0
23,"May 11, 2018",LINC,24680000.0
24,"March 31, 2018",LINC,24660000.0
0,"Oct. 14, 2020",USAP,8830000.0
1,"Sept. 30, 2020",USAP,8830000.0
2,"July 17, 2020",USAP,8830000.0
3,"June 30, 2020",USAP,8830000.0
4,"April 17, 2020",USAP,8803000.0
5,"March 31, 2020",USAP,8803000.0
6,"March 20, 2020",USAP,8803000.0
7,"Feb. 10, 2020",USAP,8788000.0
8,"Dec. 31, 2019",USAP,8799000.0
9,"Oct. 21, 2019",USAP,8788000.0
10,"Sept. 30, 2019",USAP,8788000.0
11,"July 22, 2019",USAP,8788000.0
12,"June 30, 2019",USAP,8788000.0
13,"April 22, 2019",USAP,8772000.0
14,"March 31, 2019",USAP,8772000.0
15,"March 22, 2019",USAP,8764000.0
16,"Feb. 18, 2019",USAP,8767000.0
17,"Dec. 31, 2018",USAP,8752000.0
18,"Oct. 18, 2018",USAP,8725000.0
19,"Sept. 30, 2018",USAP,8725000.0
20,"July 20, 2018",USAP,8689000.0
21,"June 30, 2018",USAP,8687000.0
22,"June 5, 2018",USAP,8674000.0
23,"April 30, 2018",USAP,7266000.0
24,"April 24, 2018",USAP,7266000.0
0,"Oct. 28, 2020",ESS,65200000.0
1,"Oct. 22, 2020",ESS,65129999.99999999
2,"Sept. 30, 2020",ESS,65209999.99999999
3,"Aug. 3, 2020",ESS,65209999.99999999
4,"July 31, 2020",ESS,65209999.99999999
5,"June 30, 2020",ESS,65330000.0
6,"May 5, 2020",ESS,65420000.0
7,"March 31, 2020",ESS,65410000.0
8,"Feb. 27, 2020",ESS,66180000.00000001
9,"Feb. 18, 2020",ESS,66170000.0
10,"Dec. 31, 2019",ESS,66090000.0
11,"Oct. 22, 2019",ESS,66080000.0
12,"Sept. 30, 2019",ESS,66080000.0
13,"July 23, 2019",ESS,65730000.00000001
14,"June 30, 2019",ESS,65730000.00000001
15,"April 23, 2019",ESS,65720000.0
16,"March 31, 2019",ESS,65720000.0
17,"Feb. 28, 2019",ESS,65690000.0
18,"Feb. 15, 2019",ESS,65690000.0
19,"Jan. 28, 2019",ESS,65660000.0
20,"Dec. 31, 2018",ESS,65890000.0
21,"Oct. 29, 2018",ESS,66069999.99999999
22,"Sept. 30, 2018",ESS,66060000.0
23,"July 31, 2018",ESS,66050000.0
24,"June 30, 2018",ESS,66050000.0
0,"Nov. 11, 2020",SCHW,1879000000.0
1,"Oct. 31, 2020",SCHW,1877000000.0
2,"Oct. 6, 2020",SCHW,1876000000.0
3,"Sept. 30, 2020",SCHW,1289000000.0
4,"July 31, 2020",SCHW,1289000000.0
5,"June 30, 2020",SCHW,1288000000.0
6,"April 30, 2020",SCHW,1287000000.0
7,"April 27, 2020",SCHW,1287000000.0
8,"March 31, 2020",SCHW,1287000000.0
9,"March 16, 2020",SCHW,1287000000.0
10,"Jan. 31, 2020",SCHW,1286000000.0
11,"Dec. 31, 2019",SCHW,1286000000.0
12,"Nov. 18, 2019",SCHW,1285000000.0
13,"Oct. 31, 2019",SCHW,1282000000.0
14,"Sept. 30, 2019",SCHW,1289000000.0
15,"July 31, 2019",SCHW,1307000000.0
16,"June 30, 2019",SCHW,1309000000.0
17,"April 30, 2019",SCHW,1335000000.0
18,"March 31, 2019",SCHW,1334000000.0
19,"March 18, 2019",SCHW,1334000000.0
20,"Jan. 31, 2019",SCHW,1333000000.0
21,"Dec. 31, 2018",SCHW,1332000000.0
22,"Oct. 31, 2018",SCHW,1350000000.0
23,"Sept. 30, 2018",SCHW,1352000000.0
24,"July 31, 2018",SCHW,1351000000.0
0,"Oct. 15, 2020",VKTX,72950000.0
1,"Sept. 30, 2020",VKTX,72920000.0
2,"July 15, 2020",VKTX,72760000.0
3,"June 30, 2020",VKTX,72760000.0
4,"April 15, 2020",VKTX,72600000.0
5,"March 31, 2020",VKTX,72560000.0
6,"Jan. 31, 2020",VKTX,72560000.0
7,"Dec. 31, 2019",VKTX,72410000.0
8,"Oct. 31, 2019",VKTX,72260000.0
9,"Sept. 30, 2019",VKTX,72260000.0
10,"July 31, 2019",VKTX,72210000.0
11,"June 30, 2019",VKTX,72170000.0
12,"April 30, 2019",VKTX,72050000.0
13,"April 1, 2019",VKTX,72030000.0
14,"March 31, 2019",VKTX,72030000.0
15,"Feb. 28, 2019",VKTX,71990000.0
16,"Dec. 31, 2018",VKTX,71740000.0
17,"Oct. 31, 2018",VKTX,71460000.0
18,"Sept. 30, 2018",VKTX,71280000.0
19,"Sept. 25, 2018",VKTX,70160000.0
20,"July 31, 2018",VKTX,60660000.0
21,"June 30, 2018",VKTX,60650000.0
22,"June 12, 2018",VKTX,59560000.0
23,"April 30, 2018",VKTX,50930000.0
24,"April 2, 2018",VKTX,50930000.0
0,"Nov. 5, 2020",UTMD,3640000.0
1,"Sept. 30, 2020",UTMD,3640000.0
2,"Aug. 6, 2020",UTMD,3643000.0
3,"June 30, 2020",UTMD,3643000.0
4,"June 1, 2020",UTMD,3642000.0
5,"May 7, 2020",UTMD,3642000.0
6,"March 31, 2020",UTMD,3642000.0
7,"March 12, 2020",UTMD,3697000.0
8,"Dec. 31, 2019",UTMD,3722000.0
9,"Nov. 6, 2019",UTMD,3721000.0
10,"Sept. 30, 2019",UTMD,3720000.0
11,"Aug. 7, 2019",UTMD,3720000.0
12,"June 30, 2019",UTMD,3719000.0
13,"May 8, 2019",UTMD,3723000.0
14,"March 31, 2019",UTMD,3723000.0
15,"March 1, 2019",UTMD,3723000.0
16,"Dec. 31, 2018",UTMD,3720000.0
17,"Nov. 6, 2018",UTMD,3734000.0
18,"Sept. 30, 2018",UTMD,3734000.0
19,"Aug. 7, 2018",UTMD,3733000.0
20,"June 30, 2018",UTMD,3732000.0
21,"May 7, 2018",UTMD,3730000.0
22,"March 31, 2018",UTMD,3728000.0
23,"March 5, 2018",UTMD,3726000.0
24,"March 2, 2018",UTMD,3726000.0
0,"Oct. 31, 2020",EWBC,141560000.0
1,"Sept. 30, 2020",EWBC,141510000.0
2,"July 31, 2020",EWBC,141490000.0
3,"June 30, 2020",EWBC,141490000.0
4,"April 30, 2020",EWBC,141490000.0
5,"March 31, 2020",EWBC,141440000.0
6,"March 23, 2020",EWBC,142010000.0
7,"Jan. 31, 2020",EWBC,145630000.0
8,"Dec. 31, 2019",EWBC,145630000.0
9,"Oct. 31, 2019",EWBC,145630000.0
10,"Sept. 30, 2019",EWBC,145570000.0
11,"July 31, 2019",EWBC,145550000.0
12,"June 30, 2019",EWBC,145550000.0
13,"April 30, 2019",EWBC,145550000.0
14,"March 31, 2019",EWBC,145500000.0
15,"March 29, 2019",EWBC,145500000.0
16,"Jan. 31, 2019",EWBC,145150000.0
17,"Dec. 31, 2018",EWBC,144960000.0
18,"Oct. 31, 2018",EWBC,144960000.0
19,"Sept. 30, 2018",EWBC,144930000.0
20,"July 31, 2018",EWBC,144910000.0
21,"June 30, 2018",EWBC,144900000.0
22,"April 30, 2018",EWBC,144900000.0
23,"March 31, 2018",EWBC,144870000.0
24,"March 29, 2018",EWBC,144870000.0
0,"Jan. 15, 2021",MARA,93910000.0
1,"Jan. 10, 2021",MARA,81410000.0
2,"Jan. 8, 2021",MARA,81410000.0
3,"Jan. 4, 2021",MARA,74660000.0
4,"Dec. 9, 2020",MARA,63630000.0
5,"Nov. 12, 2020",MARA,52640000.0
6,"Nov. 6, 2020",MARA,51600000.0
7,"Oct. 30, 2020",MARA,51400000.0
8,"Sept. 30, 2020",MARA,38960000.0
9,"Aug. 14, 2020",MARA,32140000.0
10,"Aug. 6, 2020",MARA,30130000.0
11,"Aug. 5, 2020",MARA,30130000.0
12,"July 28, 2020",MARA,29450000.0
13,"July 23, 2020",MARA,21780000.0
14,"June 30, 2020",MARA,24530000.0
15,"June 29, 2020",MARA,21780000.0
16,"June 8, 2020",MARA,20240000.0
17,"June 5, 2020",MARA,20240000.0
18,"May 14, 2020",MARA,18220000.0
19,"March 31, 2020",MARA,9212000.0
20,"March 23, 2020",MARA,8459000.0
21,"Dec. 31, 2019",MARA,8459000.0
22,"Dec. 27, 2019",MARA,8327999.999999999
23,"Nov. 8, 2019",MARA,7854000.0
24,"Oct. 14, 2019",MARA,7854000.0
0,"Nov. 5, 2020",MAC,149470000.0
1,"Sept. 30, 2020",MAC,149640000.0
2,"Aug. 7, 2020",MAC,149460000.0
3,"Aug. 1, 2020",MAC,149440000.0
4,"June 30, 2020",MAC,149600000.0
5,"May 8, 2020",MAC,141540000.0
6,"April 15, 2020",MAC,141540000.0
7,"March 31, 2020",MAC,141570000.0
8,"March 23, 2020",MAC,141450000.0
9,"Feb. 21, 2020",MAC,141300000.0
10,"Dec. 31, 2019",MAC,141410000.0
11,"Nov. 5, 2019",MAC,141270000.0
12,"Sept. 30, 2019",MAC,141370000.0
13,"Aug. 2, 2019",MAC,141270000.0
14,"June 30, 2019",MAC,141360000.0
15,"May 3, 2019",MAC,141240000.0
16,"March 31, 2019",MAC,141330000.0
17,"March 25, 2019",MAC,141230000.0
18,"Feb. 21, 2019",MAC,141160000.0
19,"Dec. 31, 2018",MAC,141220000.0
20,"Nov. 2, 2018",MAC,141050000.0
21,"Sept. 30, 2018",MAC,141200000.0
22,"Aug. 3, 2018",MAC,141050000.0
23,"June 30, 2018",MAC,141180000.0
24,"May 7, 2018",MAC,140990000.0
0,"June 9, 2020",KBSF,2591000.0
1,"May 31, 2020",KBSF,2591000.0
2,"Dec. 31, 2019",KBSF,2591000.0
3,"April 26, 2019",KBSF,2591000.0
4,"March 31, 2019",KBSF,2292000.0
5,"Dec. 31, 2018",KBSF,2271000.0
6,"Sept. 30, 2018",KBSF,2228000.0
7,"June 30, 2018",KBSF,2271000.0
8,"April 27, 2018",KBSF,2271000.0
9,"March 31, 2018",KBSF,2142000.0
10,"Dec. 31, 2017",KBSF,1986000.0
11,"June 30, 2017",KBSF,1771000.0
12,"May 15, 2017",KBSF,1772000.0
13,"March 31, 2017",KBSF,1774000.0
14,"Dec. 31, 2016",KBSF,1768000.0
0,"Dec. 11, 2020",BEN,505900000.0
1,"Oct. 31, 2020",BEN,504590000.0
2,"Sept. 30, 2020",BEN,495120000.0
3,"July 21, 2020",BEN,495360000.0
4,"June 30, 2020",BEN,495400000.0
5,"April 23, 2020",BEN,495310000.0
6,"March 31, 2020",BEN,495280000.0
7,"Jan. 22, 2020",BEN,496900000.0
8,"Dec. 31, 2019",BEN,497600000.0
9,"Dec. 13, 2019",BEN,499160000.0
10,"Oct. 31, 2019",BEN,498070000.0
11,"Sept. 30, 2019",BEN,499300000.0
12,"July 23, 2019",BEN,503670000.0
13,"June 30, 2019",BEN,504120000.0
14,"April 18, 2019",BEN,507560000.0
15,"March 31, 2019",BEN,507710000.0
16,"Jan. 23, 2019",BEN,509510000.0
17,"Dec. 31, 2018",BEN,511480000.0
18,"Dec. 14, 2018",BEN,512260000.0
19,"Nov. 30, 2018",BEN,512169999.99999994
20,"Oct. 31, 2018",BEN,513090000.00000006
21,"Sept. 30, 2018",BEN,519120000.0
22,"July 20, 2018",BEN,527059999.99999994
23,"June 30, 2018",BEN,529110000.0
24,"April 19, 2018",BEN,540210000.0
0,"Oct. 30, 2020",ADVM,97480000.0
1,"Sept. 30, 2020",ADVM,97470000.0
2,"Aug. 18, 2020",ADVM,97330000.0
3,"Aug. 3, 2020",ADVM,80660000.0
4,"June 30, 2020",ADVM,80640000.0
5,"May 22, 2020",ADVM,80300000.0
6,"April 27, 2020",ADVM,79970000.0
7,"April 15, 2020",ADVM,79890000.0
8,"March 31, 2020",ADVM,79880000.0
9,"Feb. 28, 2020",ADVM,79680000.0
10,"Feb. 14, 2020",ADVM,78250000.0
11,"Dec. 31, 2019",ADVM,67330000.0
12,"Oct. 31, 2019",ADVM,64590000.0
13,"Sept. 30, 2019",ADVM,64580000.0
14,"July 31, 2019",ADVM,64459999.99999999
15,"June 30, 2019",ADVM,64379999.99999999
16,"June 4, 2019",ADVM,63780000.0
17,"May 31, 2019",ADVM,63780000.0
18,"April 30, 2019",ADVM,63430000.0
19,"March 31, 2019",ADVM,63340000.0
20,"Feb. 28, 2019",ADVM,63200000.0
21,"Dec. 31, 2018",ADVM,62970000.0
22,"Oct. 31, 2018",ADVM,62870000.0
23,"Sept. 30, 2018",ADVM,62830000.0
24,"July 31, 2018",ADVM,62690000.0
0,"Nov. 3, 2020",BKD,183380000.0
1,"Sept. 30, 2020",BKD,187920000.0
2,"Aug. 6, 2020",BKD,183240000.0
3,"June 30, 2020",BKD,187920000.0
4,"May 11, 2020",BKD,183160000.0
5,"May 4, 2020",BKD,188010000.0
6,"April 24, 2020",BKD,183160000.0
7,"March 31, 2020",BKD,188010000.0
8,"Feb. 14, 2020",BKD,184260000.0
9,"Dec. 31, 2019",BKD,192130000.0
10,"Nov. 1, 2019",BKD,185590000.0
11,"Sept. 30, 2019",BKD,185580000.0
12,"Sept. 9, 2019",BKD,185540000.0
13,"Aug. 2, 2019",BKD,185500000.0
14,"June 30, 2019",BKD,185500000.0
15,"May 3, 2019",BKD,186190000.0
16,"April 24, 2019",BKD,186190000.0
17,"March 31, 2019",BKD,186690000.0
18,"Feb. 12, 2019",BKD,186600000.0
19,"Dec. 31, 2018",BKD,186600000.0
20,"Nov. 2, 2018",BKD,187740000.0
21,"Sept. 30, 2018",BKD,187740000.0
22,"Aug. 10, 2018",BKD,187660000.0
23,"Aug. 3, 2018",BKD,187660000.0
24,"June 30, 2018",BKD,187650000.0
0,"Dec. 31, 2020",RYAAY,225490000.0
1,"Nov. 30, 2020",RYAAY,225330000.0
2,"Nov. 2, 2020",RYAAY,225060000.0
3,"Sept. 30, 2020",RYAAY,225060000.0
4,"Sept. 8, 2020",RYAAY,225060000.0
5,"Aug. 31, 2020",RYAAY,218010000.0
6,"July 31, 2020",RYAAY,218010000.0
7,"June 30, 2020",RYAAY,218020000.0
8,"May 31, 2020",RYAAY,217870000.0
9,"April 30, 2020",RYAAY,217840000.0
10,"March 31, 2020",RYAAY,217840000.0
11,"March 16, 2020",RYAAY,218020000.0
12,"March 13, 2020",RYAAY,218090000.0
13,"March 12, 2020",RYAAY,218150000.0
14,"March 11, 2020",RYAAY,218230000.0
15,"March 10, 2020",RYAAY,218310000.0
16,"March 9, 2020",RYAAY,218400000.0
17,"March 6, 2020",RYAAY,218480000.0
18,"March 5, 2020",RYAAY,218560000.0
19,"March 4, 2020",RYAAY,218670000.0
20,"March 3, 2020",RYAAY,218730000.0
21,"March 2, 2020",RYAAY,218810000.0
22,"Feb. 28, 2020",RYAAY,219080000.0
23,"Feb. 27, 2020",RYAAY,219120000.0
24,"Feb. 26, 2020",RYAAY,219210000.0
0,"Nov. 3, 2020",RF,960440000.0
1,"Sept. 30, 2020",RF,960250000.0
2,"Aug. 3, 2020",RF,960170000.0
3,"June 30, 2020",RF,960080000.0
4,"May 5, 2020",RF,959680000.0
5,"March 31, 2020",RF,957470000.0
6,"Feb. 24, 2020",RF,957390000.0
7,"Feb. 19, 2020",RF,957380000.0
8,"Dec. 31, 2019",RF,957250000.0
9,"Nov. 4, 2019",RF,964640000.0
10,"Sept. 30, 2019",RF,964470000.0
11,"Aug. 5, 2019",RF,997770000.0
12,"June 30, 2019",RF,1004000000.0
13,"May 6, 2019",RF,1012999999.9999999
14,"March 31, 2019",RF,1012999999.9999999
15,"Feb. 25, 2019",RF,1018000000.0
16,"Feb. 20, 2019",RF,1018000000.0
17,"Dec. 31, 2018",RF,1028000000.0
18,"Nov. 5, 2018",RF,1034000000.0
19,"Sept. 30, 2018",RF,1054999999.9999999
20,"Aug. 27, 2018",RF,1073000000.0
21,"Aug. 6, 2018",RF,1102000000.0
22,"June 30, 2018",RF,1114000000.0
23,"May 7, 2018",RF,1123000000.0
24,"March 31, 2018",RF,1123000000.0
0,"Oct. 28, 2020",EVLO,46190000.0
1,"Sept. 30, 2020",EVLO,46180000.0
2,"July 27, 2020",EVLO,46140000.0
3,"June 30, 2020",EVLO,46140000.0
4,"June 29, 2020",EVLO,46130000.0
5,"May 5, 2020",EVLO,32330000.0
6,"April 20, 2020",EVLO,32330000.0
7,"March 31, 2020",EVLO,32320000.0
8,"Feb. 7, 2020",EVLO,32220000.0
9,"Dec. 31, 2019",EVLO,32170000.0
10,"Oct. 31, 2019",EVLO,32090000.000000004
11,"Sept. 30, 2019",EVLO,32070000.0
12,"July 31, 2019",EVLO,32060000.000000004
0,"Nov. 6, 2020",ICCH,3293000.0
1,"Sept. 30, 2020",ICCH,3030000.0
2,"Aug. 7, 2020",ICCH,3100000.0
3,"June 30, 2020",ICCH,3033000.0
4,"May 8, 2020",ICCH,3107000.0
5,"March 31, 2020",ICCH,3028000.0
6,"March 25, 2020",ICCH,3028000.0
7,"March 6, 2020",ICCH,3015000.0
8,"Dec. 31, 2019",ICCH,3015000.0
9,"Nov. 8, 2019",ICCH,3299000.0
10,"Sept. 30, 2019",ICCH,3012000.0
11,"Aug. 9, 2019",ICCH,3010000.0
12,"June 30, 2019",ICCH,3010000.0
13,"May 13, 2019",ICCH,3004000.0
14,"March 31, 2019",ICCH,3004000.0
15,"March 28, 2019",ICCH,3002000.0
16,"March 6, 2019",ICCH,3002000.0
0,"Nov. 12, 2020",MCFE,424390000.0
1,"Oct. 26, 2020",MCFE,430140000.0
0,"Oct. 27, 2020",JHG,181410000.0
1,"Sept. 30, 2020",JHG,181410000.0
2,"Aug. 31, 2020",JHG,182490000.0
3,"July 27, 2020",JHG,183850000.0
4,"June 30, 2020",JHG,183850000.0
5,"April 27, 2020",JHG,184910000.0
6,"March 31, 2020",JHG,184910000.0
7,"March 9, 2020",JHG,183430000.0
8,"Feb. 21, 2020",JHG,183430000.0
9,"Dec. 31, 2019",JHG,183430000.0
10,"Oct. 25, 2019",JHG,183750000.0
11,"Sept. 30, 2019",JHG,183750000.0
12,"July 26, 2019",JHG,187860000.0
